Fecha,Producto,Región,Ventas
2024-07-13,D,Norte,170
2024-06-25,D,Centro,235
2023-05-26,B,Centro,187
2023-02-16,B,Sur,177
2023-05-17,C,Sur,185
2023-05-03,C,Oeste,166
2023-09-16,B,Sur,167
2024-03-30,B,Norte,158
2023-07-17,D,Este,142
2023-04-26,B,Oeste,122
2023-02-25,C,Oeste,242
2024-09-22,C,Centro,132
2023-07-24,B,Norte,298
2024-05-18,B,Norte,207
2023-11-05,B,Sur,170
2023-07-04,D,Centro,356
2024-05-24,A,Oeste,160
2024-01-11,A,Este,174
2024-03-30,B,Este,292
2023-03-14,D,Este,216
2024-04-26,B,Norte,154
2024-01-23,C,Norte,263
2024-01-15,C,Sur,131
2024-12-15,A,Centro,317
2023-05-07,D,Norte,278
2023-09-15,D,Sur,170
2023-01-12,D,Oeste,296
2024-04-06,B,Centro,332
2024-01-28,A,Oeste,223
2024-02-08,D,Norte,253
2023-08-27,D,Norte,220
2024-11-12,B,Oeste,240
2023-06-01,C,Oeste,129
2024-05-11,C,Este,241
2024-05-20,A,Sur,213
2023-05-29,C,Sur,189
2024-02-05,D,Oeste,172
2024-07-02,C,Sur,219
2023-03-20,B,Norte,178
2024-03-28,D,Norte,348
2024-05-28,C,Sur,232
2023-02-17,A,Oeste,183
2023-07-04,A,Centro,317
2024-05-14,B,Norte,207
2023-06-23,B,Centro,305
2024-09-14,C,Sur,181
2024-10-08,D,Oeste,187
2023-01-06,D,Norte,166
2023-02-04,D,Centro,266
2023-01-07,A,Oeste,174
2024-07-10,B,Oeste,124
2023-03-10,A,Oeste,373
2024-11-14,B,Este,237
2023-09-04,A,Centro,259
2023-01-19,C,Sur,162
2024-07-29,C,Oeste,100
2023-12-08,C,Este,377
2024-07-09,C,Centro,285
2024-07-27,A,Norte,271
2023-12-27,D,Centro,571
2024-03-10,B,Norte,130
2023-04-04,B,Este,333
2023-02-28,C,Este,112
2023-06-26,D,Sur,212
2024-09-06,A,Sur,215
2024-05-06,A,Sur,106
2023-07-05,A,Sur,105
2024-06-24,D,Norte,208
2023-05-09,A,Este,117
2024-01-30,C,Norte,172
2024-02-26,A,Sur,172
2024-08-23,C,Oeste,102
2024-01-04,B,Oeste,218
2023-06-02,B,Oeste,181
2023-05-06,A,Oeste,116
2024-04-11,C,Norte,163
2024-10-20,B,Sur,207
2024-06-08,D,Oeste,211
2023-06-15,B,Sur,121
2023-11-08,A,Norte,328
2023-05-07,B,Este,216
2024-09-06,C,Centro,236
2024-06-13,A,Sur,106
2023-11-10,C,Este,273
2024-06-06,B,Oeste,88
2024-04-08,A,Norte,322
2024-12-31,D,Centro,471
2024-02-29,C,Oeste,144
2023-04-15,D,Norte,237
2024-01-25,A,Norte,113
2023-10-03,D,Centro,262
2023-01-22,A,Oeste,272
2023-02-13,D,Este,177
2023-10-05,A,Oeste,178
2024-08-16,B,Oeste,279
2024-06-11,B,Sur,185
2023-05-16,A,Oeste,248
2024-04-30,D,Centro,391
2023-12-31,C,Este,399
2024-10-27,B,Norte,100
2024-04-05,A,Norte,260
2023-09-19,C,Oeste,79
2023-09-25,D,Norte,96
2023-12-13,C,Sur,223
2024-09-20,A,Centro,224
2024-05-30,A,Este,116
2024-10-08,C,Oeste,238
2023-10-20,B,Oeste,270
2024-05-07,C,Oeste,120
2024-11-01,A,Sur,221
2024-10-15,B,Sur,130
2024-05-08,D,Oeste,269
2024-05-14,A,Este,271
2024-06-18,C,Oeste,161
2023-11-04,A,Este,443
2024-04-10,A,Norte,299
2024-06-15,B,Sur,136
2024-07-16,C,Oeste,173
2023-10-26,A,Este,278
2024-11-24,A,Oeste,369
2024-02-16,C,Oeste,173
2024-11-28,C,Oeste,212
2023-10-14,B,Norte,270
2023-08-24,B,Oeste,202
2023-02-04,D,Oeste,192
2024-07-03,D,Sur,166
2024-12-26,A,Centro,364
2023-07-18,C,Oeste,137
2024-10-30,D,Sur,111
2024-09-19,B,Norte,192
2023-10-29,D,Sur,99
2023-07-11,D,Centro,344
2024-03-30,B,Este,343
2023-08-29,A,Oeste,138
2023-02-16,B,Oeste,125
2024-02-20,B,Oeste,210
2023-02-03,A,Norte,124
2024-02-19,B,Este,287
2024-02-28,C,Centro,237
2024-08-19,D,Oeste,110
2023-12-18,A,Sur,261
2023-05-10,A,Este,289
2024-11-15,D,Oeste,441
2024-08-15,A,Oeste,277
2024-12-19,B,Oeste,409
2023-03-22,B,Centro,316
2023-11-15,A,Norte,206
2024-10-04,D,Oeste,112
2024-08-08,A,Norte,165
2024-07-12,C,Oeste,253
2023-08-16,B,Oeste,102
2024-07-10,C,Este,114
2023-12-21,B,Norte,277
2024-12-07,B,Oeste,354
2023-02-18,C,Norte,157
2023-06-03,C,Este,95
2023-08-25,A,Este,254
2024-11-19,C,Este,376
2023-02-20,D,Oeste,110
2024-07-29,C,Este,236
2023-10-30,C,Norte,195
2024-02-25,A,Centro,347
2023-01-17,C,Sur,238
2024-03-22,A,Oeste,249
2024-04-25,A,Oeste,137
2023-03-27,A,Oeste,290
2023-10-13,C,Oeste,102
2024-01-09,C,Norte,171
2023-11-18,C,Sur,133
2024-07-26,B,Oeste,195
2023-06-24,B,Centro,268
2023-03-28,A,Este,216
2024-12-01,A,Norte,473
2023-08-06,A,Sur,161
2023-10-21,C,Norte,146
2024-07-01,B,Este,277
2024-09-07,C,Este,202
2023-02-12,B,Sur,247
2024-09-13,C,Oeste,107
2023-07-24,C,Norte,211
2023-08-02,C,Oeste,153
2024-12-09,B,Sur,340
2024-08-25,B,Oeste,119
2024-04-24,B,Sur,225
2024-02-05,B,Sur,106
2023-04-28,A,Este,225
2023-02-03,B,Norte,251
2023-04-01,D,Este,189
2023-06-05,C,Norte,180
2023-09-02,A,Norte,206
2024-12-02,C,Oeste,236
2024-09-11,D,Este,116
2024-01-19,C,Oeste,200
2023-07-29,D,Este,292
2024-09-10,C,Centro,219
2024-08-03,B,Centro,228
2023-07-11,C,Oeste,245
2023-12-27,A,Sur,273
2023-06-02,C,Norte,177
2024-05-20,D,Este,104
2023-10-17,A,Sur,230
2023-07-10,A,Este,172
2023-06-20,D,Sur,144
2024-09-14,A,Sur,106
2023-06-22,D,Oeste,172
2024-08-12,B,Norte,153
2023-02-24,A,Este,234
2023-10-27,B,Sur,105
2023-11-25,C,Este,176
2023-02-18,D,Centro,132
2023-12-28,A,Este,371
2023-08-23,B,Centro,301
2024-10-25,D,Oeste,137
2023-02-03,D,Norte,165
2024-04-06,D,Norte,267
2023-05-01,C,Sur,250
2024-09-29,A,Oeste,133
2024-06-19,D,Este,176
2023-02-13,D,Este,113
2023-12-06,D,Oeste,207
2023-03-25,B,Norte,297
2023-09-17,A,Centro,271
2023-03-27,B,Oeste,171
2024-08-12,D,Centro,328
2023-03-18,D,Centro,402
2023-08-19,B,Este,192
2023-10-16,B,Este,121
2024-08-01,A,Este,315
2023-08-17,B,Norte,252
2024-02-24,A,Norte,112
2024-04-12,D,Oeste,270
2023-11-09,B,Centro,534
2024-02-21,A,Este,265
2023-03-28,A,Norte,266
2023-01-07,C,Norte,148
2024-07-23,D,Este,177
2023-09-30,C,Este,184
2024-12-18,B,Norte,181
2024-11-07,A,Oeste,460
2023-10-29,A,Este,140
2023-06-23,B,Norte,117
2023-02-19,A,Oeste,232
2023-07-27,B,Este,171
2024-09-05,D,Norte,156
2023-10-12,B,Este,160
2024-07-09,A,Sur,190
2024-05-24,C,Sur,135
2023-02-19,D,Sur,126
2024-11-07,C,Sur,288
2023-11-22,C,Este,245
2023-09-12,C,Norte,80
2024-07-16,C,Centro,327
2023-10-17,B,Centro,188
2024-06-11,A,Sur,151
2024-07-02,A,Sur,125
2023-02-22,A,Centro,411
2023-04-19,C,Centro,238
2023-09-18,C,Este,91
2024-09-12,B,Oeste,184
2023-01-11,C,Este,130
2024-09-08,D,Centro,190
2023-08-30,A,Este,302
2023-04-05,B,Norte,217
2024-06-05,D,Norte,112
2023-12-29,B,Norte,406
2024-11-19,D,Norte,291
2024-06-09,A,Este,201
2023-12-02,C,Sur,341
2024-11-08,D,Centro,345
2023-06-14,A,Este,133
2023-12-27,B,Este,225
2024-03-01,D,Norte,193
2023-08-31,D,Sur,134
2024-09-15,B,Sur,77
2023-02-10,B,Norte,252
2024-07-04,B,Este,219
2024-06-09,B,Centro,189
2023-08-22,C,Norte,239
2024-01-19,B,Este,154
2023-04-09,A,Este,302
2024-03-05,B,Centro,318
2024-07-09,A,Centro,368
2023-05-23,A,Centro,370
2023-06-30,A,Oeste,105
2024-11-22,D,Oeste,391
2023-01-01,B,Sur,205
2024-11-03,C,Norte,219
2024-11-07,A,Sur,305
2023-02-01,D,Oeste,101
2023-01-09,B,Centro,279
2024-07-15,C,Este,176
2023-12-07,C,Este,342
2023-08-12,D,Este,217
2024-12-23,D,Sur,276
2023-02-02,D,Este,283
2023-04-07,D,Oeste,264
2024-06-04,B,Este,131
2024-02-23,A,Norte,155
2023-11-19,C,Sur,287
2024-02-13,C,Centro,207
2024-04-21,C,Oeste,152
2023-03-03,D,Oeste,181
2024-12-24,D,Norte,210
2023-04-12,C,Centro,274
2024-12-12,B,Norte,441
2024-08-18,B,Oeste,243
2024-12-19,B,Norte,325
2024-11-25,A,Este,305
2024-01-27,A,Sur,256
2024-06-18,B,Centro,113
2024-12-06,A,Sur,341
2023-01-29,A,Este,273
2024-08-08,A,Centro,227
2023-07-23,B,Norte,228
2023-12-29,A,Sur,288
2024-04-08,A,Este,172
2024-02-12,B,Este,209
2024-03-15,C,Oeste,213
2023-02-21,B,Centro,282
2023-02-14,D,Oeste,208
2023-05-17,A,Centro,358
2024-03-09,B,Este,310
2023-10-08,A,Oeste,171
2023-11-22,D,Centro,343
2023-09-16,B,Este,142
2024-05-22,B,Centro,188
2023-03-21,D,Este,303
2023-02-08,C,Centro,251
2024-04-05,C,Norte,117
2023-02-01,A,Oeste,140
2024-09-25,B,Norte,108
2024-04-26,D,Sur,156
2024-06-21,C,Este,85
2023-03-24,B,Sur,302
2024-02-25,D,Norte,251
2023-05-20,C,Centro,250
2024-09-12,D,Centro,184
2024-01-23,D,Sur,161
2024-02-28,C,Centro,248
2024-08-28,A,Sur,243
2024-10-10,A,Este,157
2023-12-04,B,Sur,171
2023-04-09,B,Norte,226
2023-11-30,D,Norte,444
2024-03-29,C,Norte,313
2023-06-22,D,Sur,138
2023-10-31,C,Norte,230
2023-09-20,D,Centro,262
2023-11-17,C,Este,257
2023-04-22,C,Sur,114
2023-03-05,D,Sur,262
2023-05-03,B,Este,148
2024-11-27,B,Sur,272
2024-08-30,C,Centro,266
2023-12-01,D,Oeste,219
2023-03-04,A,Centro,339
2023-01-11,B,Sur,181
2023-12-23,B,Sur,371
2024-05-29,C,Oeste,268
2024-03-09,D,Norte,324
2023-11-21,B,Centro,220
2023-01-25,A,Oeste,298
2023-10-26,B,Norte,177
2023-05-11,B,Sur,108
2023-11-27,A,Oeste,305
2024-12-19,B,Sur,283
2023-12-13,A,Norte,422
2024-04-05,B,Norte,150
2023-09-28,B,Sur,108
2023-08-13,B,Norte,216
